*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung,*** Bezugsbeschreibung
"17,9 Luftfeuchte Austritt [%]: 92 Kondensatmenge [g/kg]: 0,2","17,9 Luftfeuchte Austritt [%]: 92 Kondensatmenge [g/kg]: 0,2","17,9 Luftfeuchte Austritt [%]: 92 Kondensatmenge [g/kg]: 0,2","17,9 Luftfeuchte Austritt [%]: 92 Kondensatmenge [g/kg]: 0,2","17,9 Luftfeuchte Austritt [%]: 92 Kondensatmenge [g/kg]: 0,2","17,9 Luftfeuchte Austritt [%]: 92 Kondensatmenge [g/kg]: 0,2","17,9 Luftfeuchte Austritt [%]: 92 Kondensatmenge [g/kg]: 0,2","17,9 Luftfeuchte Austritt [%]: 92 Kondensatmenge [g/kg]: 0,2","17,9 Luftfeuchte Austritt [%]: 92 Kondensatmenge [g/kg]: 0,2","17,9 Luftfeuchte Austritt [%]: 92 Kondensatmenge [g/kg]: 0,2","17,9 Luftfeuchte Austritt [%]: 92 Kondensatmenge [g/kg]: 0,2","17,9 Luftfeuchte Austritt [%]: 92 Kondensatmenge [g/kg]: 0,2","17,9 Luftfeuchte Austritt [%]: 92 Kondensatmenge [g/kg]: 0,2"
"Kondensatmenge [l/h]: 0,3 Massenstrom [kg/h]: 307","Kondensatmenge [l/h]: 0,3 Massenstrom [kg/h]: 307","Kondensatmenge [l/h]: 0,3 Massenstrom [kg/h]: 307","Kondensatmenge [l/h]: 0,3 Massenstrom [kg/h]: 307","Kondensatmenge [l/h]: 0,3 Massenstrom [kg/h]: 307","Kondensatmenge [l/h]: 0,3 Massenstrom [kg/h]: 307","Kondensatmenge [l/h]: 0,3 Massenstrom [kg/h]: 307","Kondensatmenge [l/h]: 0,3 Massenstrom [kg/h]: 307","Kondensatmenge [l/h]: 0,3 Massenstrom [kg/h]: 307","Kondensatmenge [l/h]: 0,3 Massenstrom [kg/h]: 307","Kondensatmenge [l/h]: 0,3 Massenstrom [kg/h]: 307","Kondensatmenge [l/h]: 0,3 Massenstrom [kg/h]: 307","Kondensatmenge [l/h]: 0,3 Massenstrom [kg/h]: 307"
Druckverlust WT [kPa]:,Druckverlust WT [kPa]:,Druckverlust WT [kPa]:,Druckverlust WT [kPa]:,Druckverlust WT [kPa]:,Druckverlust WT [kPa]:,Druckverlust WT [kPa]:,Druckverlust WT [kPa]:,Druckverlust WT [kPa]:,Druckverlust WT [kPa]:,Druckverlust WT [kPa]:,Druckverlust WT [kPa]:,Druckverlust WT [kPa]:
"4,70 Kühlleistung ges. [kW]: Kühlleistung sens. [kW]:","4,70 Kühlleistung ges. [kW]: Kühlleistung sens. [kW]:","4,70 Kühlleistung ges. [kW]: Kühlleistung sens. [kW]:","4,70 Kühlleistung ges. [kW]: Kühlleistung sens. [kW]:","4,70 Kühlleistung ges. [kW]: Kühlleistung sens. [kW]:","4,70 Kühlleistung ges. [kW]: Kühlleistung sens. [kW]:","4,70 Kühlleistung ges. [kW]: Kühlleistung sens. [kW]:","4,70 Kühlleistung ges. [kW]: Kühlleistung sens. [kW]:","4,70 Kühlleistung ges. [kW]: Kühlleistung sens. [kW]:","4,70 Kühlleistung ges. [kW]: Kühlleistung sens. [kW]:","4,70 Kühlleistung ges. [kW]: Kühlleistung sens. [kW]:","4,70 Kühlleistung ges. [kW]: Kühlleistung sens. [kW]:","4,70 Kühlleistung ges. [kW]: Kühlleistung sens. [kW]:"
"2,11 1,95 Schallpegel*) (A-bew. für ein","2,11 1,95 Schallpegel*) (A-bew. für ein","2,11 1,95 Schallpegel*) (A-bew. für ein","2,11 1,95 Schallpegel*) (A-bew. für ein","2,11 1,95 Schallpegel*) (A-bew. für ein","2,11 1,95 Schallpegel*) (A-bew. für ein","2,11 1,95 Schallpegel*) (A-bew. für ein","2,11 1,95 Schallpegel*) (A-bew. für ein","2,11 1,95 Schallpegel*) (A-bew. für ein","2,11 1,95 Schallpegel*) (A-bew. für ein","2,11 1,95 Schallpegel*) (A-bew. für ein","2,11 1,95 Schallpegel*) (A-bew. für ein","2,11 1,95 Schallpegel*) (A-bew. für ein"
Drehzahlstufe: 1 Schallleistung [dB(A)]: 36,Drehzahlstufe: 1 Schallleistung [dB(A)]: 36,Drehzahlstufe: 1 Schallleistung [dB(A)]: 36,Drehzahlstufe: 1 Schallleistung [dB(A)]: 36,Drehzahlstufe: 1 Schallleistung [dB(A)]: 36,Drehzahlstufe: 1 Schallleistung [dB(A)]: 36,Drehzahlstufe: 1 Schallleistung [dB(A)]: 36,Drehzahlstufe: 1 Schallleistung [dB(A)]: 36,Drehzahlstufe: 1 Schallleistung [dB(A)]: 36,Drehzahlstufe: 1 Schallleistung [dB(A)]: 36,Drehzahlstufe: 1 Schallleistung [dB(A)]: 36,Drehzahlstufe: 1 Schallleistung [dB(A)]: 36,Drehzahlstufe: 1 Schallleistung [dB(A)]: 36
Schalldruck [dB(A)]: 28,Schalldruck [dB(A)]: 28,Schalldruck [dB(A)]: 28,Schalldruck [dB(A)]: 28,Schalldruck [dB(A)]: 28,Schalldruck [dB(A)]: 28,Schalldruck [dB(A)]: 28,Schalldruck [dB(A)]: 28,Schalldruck [dB(A)]: 28,Schalldruck [dB(A)]: 28,Schalldruck [dB(A)]: 28,Schalldruck [dB(A)]: 28,Schalldruck [dB(A)]: 28
Drehzahlstufe: 3,Drehzahlstufe: 3,Drehzahlstufe: 3,Drehzahlstufe: 3,Drehzahlstufe: 3,Drehzahlstufe: 3,Drehzahlstufe: 3,Drehzahlstufe: 3,Drehzahlstufe: 3,Drehzahlstufe: 3,Drehzahlstufe: 3,Drehzahlstufe: 3,Drehzahlstufe: 3
Schallleistung [dB(A)]: Schalldruck [dB(A)]: 43,Schallleistung [dB(A)]: Schalldruck [dB(A)]: 43,Schallleistung [dB(A)]: Schalldruck [dB(A)]: 43,Schallleistung [dB(A)]: Schalldruck [dB(A)]: 43,Schallleistung [dB(A)]: Schalldruck [dB(A)]: 43,Schallleistung [dB(A)]: Schalldruck [dB(A)]: 43,Schallleistung [dB(A)]: Schalldruck [dB(A)]: 43,Schallleistung [dB(A)]: Schalldruck [dB(A)]: 43,Schallleistung [dB(A)]: Schalldruck [dB(A)]: 43,Schallleistung [dB(A)]: Schalldruck [dB(A)]: 43,Schallleistung [dB(A)]: Schalldruck [dB(A)]: 43,Schallleistung [dB(A)]: Schalldruck [dB(A)]: 43,Schallleistung [dB(A)]: Schalldruck [dB(A)]: 43
Drehzahlstufe: 5,Drehzahlstufe: 5,Drehzahlstufe: 5,Drehzahlstufe: 5,Drehzahlstufe: 5,Drehzahlstufe: 5,Drehzahlstufe: 5,Drehzahlstufe: 5,Drehzahlstufe: 5,Drehzahlstufe: 5,Drehzahlstufe: 5,Drehzahlstufe: 5,Drehzahlstufe: 5
51 Schallleistung [dB(A)]:,51 Schallleistung [dB(A)]:,51 Schallleistung [dB(A)]:,51 Schallleistung [dB(A)]:,51 Schallleistung [dB(A)]:,51 Schallleistung [dB(A)]:,51 Schallleistung [dB(A)]:,51 Schallleistung [dB(A)]:,51 Schallleistung [dB(A)]:,51 Schallleistung [dB(A)]:,51 Schallleistung [dB(A)]:,51 Schallleistung [dB(A)]:,51 Schallleistung [dB(A)]:
Schalldruck [dB(A)]: 59,Schalldruck [dB(A)]: 59,Schalldruck [dB(A)]: 59,Schalldruck [dB(A)]: 59,Schalldruck [dB(A)]: 59,Schalldruck [dB(A)]: 59,Schalldruck [dB(A)]: 59,Schalldruck [dB(A)]: 59,Schalldruck [dB(A)]: 59,Schalldruck [dB(A)]: 59,Schalldruck [dB(A)]: 59,Schalldruck [dB(A)]: 59,Schalldruck [dB(A)]: 59
68,68,68,68,68,68,68,68,68,68,68,68,68
